DateString,CPI,CPIXFE,S,RS,A,A_prom,ind_prec_expus,ind_prec_impus,RS_RW,REM,MB,CPI_RW
.Comments ->,Indice de Precios al Consumidor,Indice de Inflaci�n Subyacente,Tipo de Cambio Nominal,Tasa de interes de Pol�tica Monetaria,Peso de las exportaciones de EEUU en las importaciones de Guuatemala,Peso de las exportaciones de EEUU en las importaciones de Guuatemala (Promedio 12 meses),Indice de Precios de Exportaciones de EEUU,Indice de Precios de Importaciones de EEUU,Tasa de Fondos Federales,Remesas (Millones de D�lares),Base Monetaria,�ndice de inflaci�n subyacente PCE de EEUU
2001M01,29.88613253,101.51518,7.8,5.72,0.405616097,0.418750972,100.3,100.5,5.74,,11611.1,75.796
2001M02,30.104301,102.553085,7.74,6.24,0.442726965,0.420649465,100.2,99.9,5.59,,11786.1,75.93
2001M03,30.26645324,103.23987,7.7,5.4,0.457810776,0.423804942,100,98.3,5.29,,11961.7,76.009
2001M04,30.39617504,103.78157,7.75,4.42,0.469706249,0.427951709,99.9,97.8,4.67,,11937.8,76.13
2001M05,30.48756994,104.20502,7.77,5.05,0.422171786,0.42813727,99.6,98,4.24,,11931.5,76.148
2001M06,30.71163486,104.94312,7.8,4.98,0.450810969,0.43070943,99.4,97.6,3.95,,11787,76.318
2001M07,30.97992311,105.62452,7.8,4.83,0.42169946,0.43085563,99,96.1,3.82,,12124.5,76.515
2001M08,31.36614027,107.02394,7.85,4.83,0.390089773,0.42836769,98.8,96,3.66,,12013.1,76.553
2001M09,31.46637984,107.80329,7.95,4.63,0.435965709,0.429702745,99,95.9,2.75,,12219,76.118
2001M10,31.70223765,108.74786,8.11,4.47,0.436921842,0.431117478,98.3,93.7,2.66,,12637.23,76.654
2001M11,31.92335435,109.55618,8.08,4.93,0.402514086,0.429664897,97.8,92.3,2.06,,12399.4,76.81
2001M12,32.10909237,110.31901,7.96,4.52,0.439207923,0.431270136,97.6,91.4,1.52,,13953.2,76.828
2002M01,32.5306882,112.44126,8.02,4.53,0.407188818,0.431401196,97.5,91.6,1.85,83.2,13770.7,76.871
2002M02,32.81666579,113.70668,7.94,4.23,0.454909133,0.432416377,97.3,91.6,1.83,96.7,13179,77.018
2002M03,33.02893782,114.48451,7.91,5.25,0.431942757,0.430260709,97.6,92.8,1.74,109,14023.24,77.11
2002M04,33.2087794,115.15285,7.82,4.56,0.434610362,0.427336052,98,94.3,1.82,139.2,13901.77,77.325
2002M05,33.32670831,115.61008,7.87,4.31,0.395822341,0.425140265,98,94.4,1.79,89.8,13589.6,77.411
2002M06,33.51834277,116.179855,7.9,4.39,0.46677133,0.426470295,98,94.1,1.73,128,13167.8,77.534
2002M07,33.79842392,116.733925,7.86,4.11,0.432864325,0.4274007,98.3,94.5,1.76,136.5,13659.7,77.692
2002M08,33.78957925,117.173,7.77,4.91,0.407741623,0.428871687,98.5,94.8,1.81,162.3,13737.9,77.845
2002M09,33.70113258,117.53809,7.78,4.45,0.426112049,0.428050549,98.8,95.5,1.85,157.3,12812.8,77.972
2002M10,33.7954757,117.97417,7.73,4.47,0.40845049,0.425677936,98.7,95.5,1.82,176.3,13456,78.038
2002M11,33.94878327,118.46275,7.61,5.4,0.420178643,0.427149983,98.8,94.6,1.23,143,15180.7,78.114
2002M12,34.14041774,118.95152,7.65,2.22,0.448642867,0.427936228,98.6,95.2,1.16,158.2,16280.5,78.187
2003M01,34.54727246,120.42685,7.8,1.03,0.392592285,0.42671985,98.9,96.9,1.33,164.8,14268.8,78.24
2003M02,34.78607849,121.34674,7.83,4.13,0.43940768,0.425428063,99.5,98.5,1.33,144.7,15660.8,78.348
2003M03,34.93643785,121.88653,7.91,1.41,0.436910793,0.425842066,99.7,99.1,1.38,160.8,14693.8,78.474
2003M04,35.09269364,122.47697,7.91,0.87,0.426660281,0.425179559,99.6,96,1.31,181.1,16111.7,78.561
2003M05,35.18114032,122.96249,7.9,0.82,0.397099123,0.425285957,99.7,95.3,1.28,187.4,14891.1,78.674
2003M06,35.27548345,123.51053,7.92,1.1,0.416366754,0.421085576,99.5,96.2,1.45,161.5,14870.4,78.718
2003M07,35.36982657,123.967384,7.92,1.48,0.39003199,0.417516215,99.4,96.7,1.04,192,15757.7,78.915
2003M08,35.46711791,124.334724,7.92,1.4,0.446275622,0.420727381,99.4,96.7,1.01,178.9,15166.9,79.004
2003M09,35.61452905,124.700554,7.98,1.45,0.407521535,0.419178172,99.8,96.2,1.17,176.6,14490.6,79.114
