DateString,GDP,NGDP,GDP_RW
.Comments ->,Producto Interno Bruto real de Guatemala,Producto Interno Bruto nominal de Guatemala,Producto Interno Bruto de EEUU
2001Q1,70060.6,,14183.12
2001Q2,66509.1,,14271.694
2001Q3,66314.4,,14214.516
2001Q4,71106.3,,14253.574
2002Q1,72155.3,43258.8,14372.785
2002Q2,69896.2,41448.7,14460.848
2002Q3,70306.1,42519.3,14519.633
2002Q4,73264.1,44219.7,14537.58
2003Q1,75441.3,47396.9,14614.141
2003Q2,71542.1,44096.5,14743.567
2003Q3,71890.5,45153.4,14988.782
2003Q4,74221.7,46639.5,15162.76
2004Q1,76687.7,50015.5,15248.68
2004Q2,73508.5,47474.2,15366.85
2004Q3,74000.4,48760.2,15512.619
2004Q4,77600.2,52302.2,15670.88
2005Q1,79264,54739.5,15844.727
2005Q2,77149.5,52652.9,15922.782
2005Q3,75770.3,52604.2,16047.587
2005Q4,78863.6,55186.5,16136.734
2006Q1,83160,60101.9,16353.835
2006Q2,79399.4,56810.3,16396.151
2006Q3,80781.3,58936.3,16420.738
2006Q4,85047.2,62174.3,16561.866
2007Q1,88341.8,67591.7,16611.69
2007Q2,85226.5,64074.5,16713.314
2007Q3,85488.2,66701.7,16809.587
2007Q4,89195,70455.9,16915.191
2008Q1,90929.6,75225.8,16843.003
2008Q2,90145.1,74565.1,16943.291
2008Q3,88192.3,75672.5,16854.295
2008Q4,91738.9,78865.9,16485.35
2009Q1,90819.8,78253.3,16298.262
2009Q2,89285.9,74997.8,16269.145
2009Q3,89414.1,76667.6,16326.281
2009Q4,93767.9,80066.9,16502.754
2010Q1,93561.1,83764.1,16582.71
2010Q2,92080.5,80946.3,16743.162
2010Q3,91027.2,82168.1,16872.266
2010Q4,96812,87555.7,16960.864
2011Q1,97288.7,91460.7,16920.632
2011Q2,96227,89623.1,17035.114
2011Q3,96247.7,92060.3,17031.313
2011Q4,100318.9,96206,17222.583
2012Q1,101001.4,98146.8,17367.01
2012Q2,98806.4,95001.2,17444.525
2012Q3,98662.2,95942.2,17469.65
2012Q4,103889.3,101835.8,17489.852
2013Q1,103960.1024,103834.5636,17662.4
2013Q2,103201.2293,102176.5902,17709.671
2013Q3,102372.5081,102217.2642,17860.45
2013Q4,106849.3805,108154.8023,18016.147
2014Q1,108289.467,109523.7172,17953.974
2014Q2,107649.752,109403.5924,18185.911
2014Q3,106782.8735,111334.2455,18406.941
2014Q4,112165.1058,117064.7711,18500.031
2015Q1,113343.5446,117897.2753,18666.621
2015Q2,111016.0223,116183.442,18782.243
2015Q3,112035.3948,118716.5307,18857.418
2015Q4,116288.5631,123225.5732,18892.206
2016Q1,115243.1134,123838.5435,19001.69
2016Q2,115126.2594,122799.3669,19062.709
2016Q3,114354.243,124518.0495,19197.938
2016Q4,120081.8809,130845.7444,19304.352
2017Q1,120681.2649,131682.7084,19398.343
2017Q2,117992.1098,127650.414,19506.949
2017Q3,117906.127,130291.6691,19660.766
2017Q4,122541.313,136882.6228,19882.352
2018Q1,123947.7658,136945.1345,20044.077
2018Q2,123023.0611,134587.613,20150.476
2018Q3,122027.6174,136449.3969,20276.154
2018Q4,126445.4103,143385.9377,20304.874
2019Q1,128569.482,144940.7668,20431.641
2019Q2,127741.5504,145359.2733,20602.275
2019Q3,126951.0527,147623.6207,20843.322
2019Q4,132088.198,156048.3591,20985.448
2020Q1,129622.8912,151214.1137,20709.212
2020Q2,115915.5644,136507.6481,19077.992
2020Q3,125160.7782,150128.7117,20558.879
2020Q4,135449.2028,162272.0274,20791.917
2021Q1,135446.1302,162671.5659,21082.134
2021Q2,133932.0588,161776.0357,21440.929
2021Q3,135354.0321,167039.9066,21617.828
2021Q4,142119.1742,177193.0259,21988.737
2022Q1,141576.7246,179170.9643,21932.71
2022Q2,140282.2903,179610.4592,21967.045
2022Q3,140728.0988,185624.1849,22125.625
2022Q4,146985.5339,196401.8846,22278.345
2023Q1,147227.4104,200405.8417,22439.607
2023Q2,146133.661,200133.2995,22580.499
2023Q3,146534.2598,203402.0172,22840.989
2023Q4,149750.7786,212918.7213,23033.78
2024Q1,151506.9364,214009.7889,23082.119
2024Q2,151670.963,213837.052,23286.508
2024Q3,151871.84,219785.3679,23478.57
2024Q4,156505.181,230755.1534,23586.542
2025Q1,157241.9916,230802.6097,23548.21
2025Q2,157719.5961,231747.8461,23770.976
2025Q3,158743.2871,235583.0789,24026.834
2025Q4,164024.7942,248871.9949,24055.749
